,x,y,z
3247,492046.868,3968583.739,1299.422
3247,492098.59,3968572.842,1300.338
3248,492096.444,3968573.503,1300.379
3248,492049.247,3968582.843,1299.474
3249,492094.245,3968574.018,1300.366
3249,492051.825,3968582.004,1299.491
3250,492092.101,3968574.766,1300.312
3250,492054.88,3968581.246,1299.556
3251,492089.927,3968575.392,1300.292
3251,492057.61,3968580.622,1299.611
3252,492074.084,3968577.94,1299.92
3253,492074.629,3968577.809,1299.91
3254,492074.898,3968577.649,1299.92
3255,492075.154,3968577.617,1299.881
3256,492075.492,3968577.606,1299.946
3257,492075.825,3968577.588,1299.955
3258,492076.316,3968577.52,1299.939
3259,492076.952,3968577.369,1299.939
3260,492077.47,3968577.284,1299.948
3261,492078.018,3968577.173,1300.026
3262,492078.441,3968577.159,1300.016
3263,492092.788,3968570.019,1300.007
3263,492064.996,3968584.163,1300.063
3264,492095.565,3968569.246,1300.072
3264,492063.026,3968584.982,1300.055
3265,492098.57,3968568.595,1300.106
3265,492061.005,3968585.912,1300.028
3266,492101.411,3968567.885,1300.081
3266,492058.957,3968586.724,1300
3267,492104.303,3968567.306,1300.087
3267,492056.781,3968587.505,1299.92
3268,492053.705,3968588.241,1299.916
3268,492107.095,3968566.695,1300.089
3269,492051.63,3968588.288,1299.918
3269,492109.657,3968566.041,1300.116
3270,492112.514,3968565.524,1300.111
3270,492049.392,3968588.835,1299.819
3271,492181.42,3968551.737,1301.665
3271,492047.199,3968589.457,1299.733
3272,492045.152,3968590.489,1299.684
3272,492181.088,3968548.975,1301.807
3273,492042.947,3968591.323,1299.613
3273,492180.814,3968546.759,1301.8
3274,492040.711,3968592.222,1299.544
3274,492180.605,3968544.389,1301.71
3275,492038.309,3968592.975,1299.508
3275,492180.421,3968542.332,1301.706
3276,492179.955,3968540.357,1301.638
3276,492036.221,3968593.789,1299.552
3277,492033.949,3968594.82,1299.523
3277,492179.741,3968538,1301.615
3278,492031.645,3968595.587,1299.535
3278,492178.927,3968535.739,1301.575
3279,492029.332,3968596.344,1299.523
3279,492176.789,3968535.1,1301.474
3280,492173.475,3968535.398,1301.417
3280,492027.156,3968597.31,1299.596
3281,492025.158,3968598.326,1299.561
3281,492171.364,3968535.57,1301.346
3282,492169.331,3968535.735,1301.32
3282,492023.128,3968599.085,1299.574
3283,492020.942,3968599.62,1299.559
3283,492166.818,3968536.05,1301.158
3284,492018.949,3968600.338,1299.557
3284,492164.595,3968536.37,1301.105
3285,492162.329,3968536.596,1301.064
3285,492016.499,3968601.202,1299.524
3286,492159.869,3968536.778,1301.119
3286,492014.227,3968599.903,1299.523
3287,492157.469,3968537.262,1301.014
3287,492013.04,3968597.955,1299.403
3288,492155.14,3968537.672,1300.92
3288,492012.089,3968595.454,1299.29
3289,492152.899,3968538.132,1300.872
3289,492012.035,3968593.186,1299.129
3290,492014.011,3968592.194,1299.033
3290,492150.484,3968538.551,1300.752
3291,492015.944,3968591.293,1299.087
3291,492148.128,3968538.948,1300.604
3292,492018.024,3968590.173,1299.078
3292,492145.645,3968539.583,1300.507
3293,492020.395,3968589.209,1299.053
3293,492143.428,3968540.016,1300.383
3294,492140.975,3968540.47,1300.281
3294,492022.783,3968588.15,1299.1
3295,492138.647,3968541.038,1300.136
3295,492025.509,3968587.361,1299.099
3296,492028.109,3968586.485,1299.087
3296,492136.23,3968541.436,1300.041
3297,492133.936,3968542.128,1299.937
